#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BA05A8
#Date Time: 2026-02-21 14:59:02.969.402.580
#Sample rate: 2e+07Hz
#Samples: 1024

Time (s),LE,MOSI,SCK,SPI
-7.05e-06,1,1,0,X
-7e-06,1,1,0,X
-6.95e-06,1,1,0,X
-6.9e-06,1,1,0,X
-6.85e-06,1,1,0,X
-6.8e-06,1,1,0,X
-6.75e-06,1,1,0,X
-6.7e-06,1,1,0,X
-6.65e-06,1,1,0,X
-6.6e-06,1,1,0,X
-6.55e-06,1,1,0,X
-6.5e-06,1,1,0,X
-6.45e-06,1,1,0,X
-6.4e-06,1,1,0,X
-6.35e-06,1,1,0,X
-6.3e-06,1,1,0,X
-6.25e-06,1,1,0,X
-6.2e-06,1,1,0,X
-6.15e-06,1,1,0,X
-6.1e-06,1,1,0,X
-6.05e-06,1,1,0,X
-6e-06,1,1,0,X
-5.95e-06,1,1,0,X
-5.9e-06,1,1,0,X
-5.85e-06,1,1,0,X
-5.8e-06,1,1,0,X
-5.75e-06,1,1,0,X
-5.7e-06,1,1,0,X
-5.65e-06,1,1,0,X
-5.6e-06,1,1,0,X
-5.55e-06,1,1,0,X
-5.5e-06,1,1,0,X
-5.45e-06,1,1,0,X
-5.4e-06,1,1,0,X
-5.35e-06,1,1,0,X
-5.3e-06,1,1,0,X
-5.25e-06,1,1,0,X
-5.2e-06,1,1,0,X
-5.15e-06,1,1,0,X
-5.1e-06,1,1,0,X
-5.05e-06,1,1,0,X
-5e-06,1,1,0,X
-4.95e-06,1,1,0,X
-4.9e-06,1,1,0,X
-4.85e-06,1,1,0,X
-4.8e-06,1,1,0,X
-4.75e-06,1,1,0,X
-4.7e-06,1,1,0,X
-4.65e-06,1,1,0,X
-4.6e-06,1,1,0,X
-4.55e-06,1,1,0,X
-4.5e-06,1,1,0,X
-4.45e-06,1,1,0,X
-4.4e-06,1,1,0,X
-4.35e-06,1,1,0,X
-4.3e-06,1,1,0,X
-4.25e-06,1,1,0,X
-4.2e-06,1,1,0,X
-4.15e-06,1,1,0,X
-4.1e-06,1,1,0,X
-4.05e-06,1,1,0,X
-4e-06,1,1,0,X
-3.95e-06,1,1,0,X
-3.9e-06,1,1,0,X
-3.85e-06,1,1,0,X
-3.8e-06,1,1,0,X
-3.75e-06,1,1,0,X
-3.7e-06,1,1,0,X
-3.65e-06,1,1,0,X
-3.6e-06,1,1,0,X
-3.55e-06,1,1,0,X
-3.5e-06,1,1,0,X
-3.45e-06,1,1,0,X
-3.4e-06,1,1,0,X
-3.35e-06,1,1,0,X
-3.3e-06,1,1,0,X
-3.25e-06,1,1,0,X
-3.2e-06,1,1,0,X
-3.15e-06,1,1,0,X
-3.1e-06,1,1,0,X
-3.05e-06,1,1,0,X
-3e-06,1,1,0,X
-2.95e-06,1,1,0,X
-2.9e-06,1,1,0,X
-2.85e-06,1,1,0,X
-2.8e-06,1,1,0,X
-2.75e-06,1,1,0,X
-2.7e-06,1,1,0,X
-2.65e-06,1,1,0,X
-2.6e-06,1,1,0,X
-2.55e-06,1,1,0,X
-2.5e-06,1,1,0,X
-2.45e-06,1,1,0,X
-2.4e-06,1,1,0,X
-2.35e-06,1,1,0,X
-2.3e-06,1,1,0,X
-2.25e-06,1,1,0,X
-2.2e-06,1,1,0,X
-2.15e-06,1,1,0,X
-2.1e-06,1,1,0,X
-2.05e-06,1,1,0,X
-2e-06,1,1,0,X
-1.95e-06,1,1,0,X
-1.9e-06,1,1,0,X
-1.85e-06,1,1,0,X
-1.8e-06,1,1,0,X
-1.75e-06,1,1,0,X
-1.7e-06,1,1,0,X
-1.65e-06,1,1,0,X
-1.6e-06,1,1,0,X
-1.55e-06,1,1,0,X
-1.5e-06,1,1,0,X
-1.45e-06,1,1,0,X
-1.4e-06,1,1,0,X
-1.35e-06,1,1,0,X
-1.3e-06,1,1,0,X
-1.25e-06,1,1,0,X
-1.2e-06,1,1,0,X
-1.15e-06,1,1,0,X
-1.1e-06,1,1,0,X
-1.05e-06,1,1,0,X
-1e-06,1,1,0,X
-9.5e-07,1,1,0,X
-9e-07,1,1,0,X
-8.5e-07,1,1,0,X
-8e-07,1,1,0,X
-7.5e-07,1,1,0,X
-7e-07,1,1,0,X
-6.5e-07,1,1,0,X
-6e-07,1,1,0,X
-5.5e-07,1,1,0,X
-5e-07,1,1,0,X
-4.5e-07,1,1,0,X
-4e-07,1,1,0,X
-3.5e-07,1,1,0,X
-3e-07,1,1,0,X
-2.5e-07,1,1,0,X
-2e-07,1,1,0,X
-1.5e-07,1,1,0,X
-1e-07,1,1,0,X
-5e-08,1,1,0,X
0,0,1,0,X
5e-08,0,1,0,X
1e-07,0,1,0,X
1.5e-07,0,1,0,X
2e-07,0,1,0,X
2.5e-07,0,1,0,X
3e-07,0,1,0,X
3.5e-07,0,1,0,X
4e-07,0,1,0,X
4.5e-07,0,1,0,X
5e-07,0,1,0,X
5.5e-07,0,1,0,X
6e-07,0,1,0,X
6.5e-07,0,1,0,X
7e-07,0,1,0,X
7.5e-07,0,1,0,X
8e-07,0,1,0,X
8.5e-07,0,1,0,X
9e-07,0,1,0,X
9.5e-07,0,1,0,X
1e-06,0,1,0,X
1.05e-06,0,1,0,X
1.1e-06,0,1,0,X
1.15e-06,0,1,0,X
1.2e-06,0,1,0,X
1.25e-06,0,1,0,X
1.3e-06,0,1,0,X
1.35e-06,0,1,0,X
1.4e-06,0,1,0,X
1.45e-06,0,1,0,X
1.5e-06,0,0,0,X
1.55e-06,0,0,0,X
1.6e-06,0,0,0,X
